# JMH version: 1.36
# VM version: JDK 19.0.1, Java HotSpot(TM) 64-Bit Server VM, 19.0.1+10-21
# VM invoker: C:\Program Files\Java\jdk-19\bin\java.exe
# VM options: <none>
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 10 s each
# Measurement: 10 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: ant.far.MyBenchmark.insertIntoTreeSet

# Run progress: 0.00% complete, ETA 00:30:00
# Warmup Fork: 1 of 1
# Warmup Iteration   1: 2.646 ops/s
# Warmup Iteration   2: 2.831 ops/s
# Warmup Iteration   3: 2.915 ops/s
# Warmup Iteration   4: 2.797 ops/s
# Warmup Iteration   5: 2.904 ops/s
Iteration   9: 560611299.089 ops/s
Iteration  10: 555500397.469 ops/s


Result "ant.far.MyBenchmark.sortTreeSet":
  548099417.424 ±(99.9%) 13367015.421 ops/s [Average]
  (min, avg, max) = (532393979.386, 548099417.424, 560611299.089), stdev = 8841453.067
  CI (99.9%): [534732402.003, 561466432.845] (assumes normal distribution)


# JMH version: 1.36
# VM version: JDK 19.0.1, Java HotSpot(TM) 64-Bit Server VM, 19.0.1+10-21
# VM invoker: C:\Program Files\Java\jdk-19\bin\java.exe
# VM options: <none>
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 10 s each
# Measurement: 10 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: ant.far.MyBenchmark.insertIntoTreeSet

# Run progress: 33.33% complete, ETA 00:20:15
# Warmup Fork: 1 of 1
# Warmup Iteration   1: 0.383 s/op
# Warmup Iteration   2: 0.381 s/op
# Warmup Iteration   3: 0.373 s/op
# Warmup Iteration   4: 0.355 s/op
# Warmup Iteration   5: 0.351 s/op
Iteration   1: 0.359 s/op
Iteration   2: 0.350 s/op
Iteration   3: 0.354 s/op
Iteration   4: 0.357 s/op
Iteration   5: 0.374 s/op
Iteration   6: 0.381 s/op
Iteration   7: 0.360 s/op
Iteration   8: 0.366 s/op
Iteration   9: 0.363 s/op
Iteration  10: 0.383 s/op

# Run progress: 41.67% complete, ETA 00:17:45
# Fork: 1 of 1
# Warmup Iteration   1: 0.372 s/op
# Warmup Iteration   2: 0.382 s/op
# Warmup Iteration   3: 0.349 s/op
# Warmup Iteration   4: 0.357 s/op
# Warmup Iteration   5: 0.360 s/op
Iteration   1: 0.361 s/op
Iteration   2: 0.369 s/op
Iteration   3: 0.371 s/op
Iteration   4: 0.363 s/op
Iteration   5: 0.366 s/op
Iteration   6: 0.366 s/op
Iteration   7: 0.374 s/op
Iteration   8: 0.368 s/op
Iteration   9: 0.368 s/op
Iteration  10: 0.358 s/op


Result "ant.far.MyBenchmark.insertIntoTreeSet":
  0.366 ±(99.9%) 0.007 s/op [Average]
  (min, avg, max) = (0.358, 0.366, 0.374), stdev = 0.005
  CI (99.9%): [0.359, 0.373] (assumes normal distribution)


# JMH version: 1.36
# VM version: JDK 19.0.1, Java HotSpot(TM) 64-Bit Server VM, 19.0.1+10-21
# VM invoker: C:\Program Files\Java\jdk-19\bin\java.exe
# VM options: <none>
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 10 s each
# Measurement: 10 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: ant.far.MyBenchmark.sortTreeSet

# Run progress: 50.00% complete, ETA 00:15:14
# Warmup Fork: 1 of 1
# Warmup Iteration   1: ≈ 10⁻⁹ s/op
# Warmup Iteration   2: ≈ 10⁻⁹ s/op
# Warmup Iteration   3: ≈ 10⁻⁹ s/op
# Warmup Iteration   4: ≈ 10⁻⁹ s/op
# Warmup Iteration   5: ≈ 10⁻⁹ s/op
Iteration   1: ≈ 10⁻⁹ s/op
Iteration   2: ≈ 10⁻⁹ s/op
Iteration   3: ≈ 10⁻⁹ s/op
Iteration   4: ≈ 10⁻⁹ s/op
Iteration   5: ≈ 10⁻⁹ s/op
Iteration   6: ≈ 10⁻⁹ s/op
Iteration   7: ≈ 10⁻⁹ s/op
Iteration   8: ≈ 10⁻⁹ s/op
Iteration   9: ≈ 10⁻⁹ s/op
Iteration  10: ≈ 10⁻⁹ s/op

# Run progress: 58.33% complete, ETA 00:12:40
# Fork: 1 of 1
# Warmup Iteration   1: ≈ 10⁻⁹ s/op
# Warmup Iteration   2: ≈ 10⁻⁹ s/op
# Warmup Iteration   3: ≈ 10⁻⁹ s/op
# Warmup Iteration   4: ≈ 10⁻⁹ s/op
# Warmup Iteration   5: ≈ 10⁻⁹ s/op
Iteration   1: ≈ 10⁻⁹ s/op
Iteration   2: ≈ 10⁻⁹ s/op
Iteration   3: ≈ 10⁻⁹ s/op
Iteration   4: ≈ 10⁻⁹ s/op
Iteration   5: ≈ 10⁻⁹ s/op
Iteration   6: ≈ 10⁻⁹ s/op
Iteration   7: ≈ 10⁻⁹ s/op
Iteration   8: ≈ 10⁻⁹ s/op
Iteration   9: ≈ 10⁻⁹ s/op
Iteration  10: ≈ 10⁻⁹ s/op


Result "ant.far.MyBenchmark.sortTreeSet":
  ≈ 10⁻⁹ s/op


# JMH version: 1.36
# VM version: JDK 19.0.1, Java HotSpot(TM) 64-Bit Server VM, 19.0.1+10-21
# VM invoker: C:\Program Files\Java\jdk-19\bin\java.exe
# VM options: <none>
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 10 s each
# Measurement: 10 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Sampling time
# Benchmark: ant.far.MyBenchmark.insertIntoTreeSet

# Run progress: 66.66% complete, ETA 00:10:07
# Warmup Fork: 1 of 1
# Warmup Iteration   1: 0.371 ±(99.9%) 0.024 s/op
# Warmup Iteration   2: 0.403 ±(99.9%) 0.031 s/op
# Warmup Iteration   3: 0.365 ±(99.9%) 0.020 s/op
# Warmup Iteration   4: 0.399 ±(99.9%) 0.026 s/op
# Warmup Iteration   5: 0.354 ±(99.9%) 0.012 s/op
Iteration   1: 0.382 ±(99.9%) 0.024 s/op
                 insertIntoTreeSet·p0.00:   0.340 s/op
                 insertIntoTreeSet·p0.50:   0.380 s/op
                 insertIntoTreeSet·p0.90:   0.442 s/op
                 insertIntoTreeSet·p0.95:   0.454 s/op
                 insertIntoTreeSet·p0.99:   0.459 s/op
                 insertIntoTreeSet·p0.999:  0.459 s/op
                 insertIntoTreeSet·p0.9999: 0.459 s/op
                 insertIntoTreeSet·p1.00:   0.459 s/op

Iteration   2: 0.364 ±(99.9%) 0.010 s/op
                 insertIntoTreeSet·p0.00:   0.340 s/op
                 insertIntoTreeSet·p0.50:   0.365 s/op
                 insertIntoTreeSet·p0.90:   0.385 s/op
                 insertIntoTreeSet·p0.95:   0.393 s/op
                 insertIntoTreeSet·p0.99:   0.393 s/op
                 insertIntoTreeSet·p0.999:  0.393 s/op
                 insertIntoTreeSet·p0.9999: 0.393 s/op
                 insertIntoTreeSet·p1.00:   0.393 s/op

Iteration   3: 0.343 ±(99.9%) 0.006 s/op
                 insertIntoTreeSet·p0.00:   0.336 s/op
                 insertIntoTreeSet·p0.50:   0.340 s/op
                 insertIntoTreeSet·p0.90:   0.362 s/op
                 insertIntoTreeSet·p0.95:   0.368 s/op
                 insertIntoTreeSet·p0.99:   0.369 s/op
                 insertIntoTreeSet·p0.999:  0.369 s/op
                 insertIntoTreeSet·p0.9999: 0.369 s/op
                 insertIntoTreeSet·p1.00:   0.369 s/op

Iteration   4: 0.343 ±(99.9%) 0.006 s/op
                 insertIntoTreeSet·p0.00:   0.333 s/op
                 insertIntoTreeSet·p0.50:   0.341 s/op
                 insertIntoTreeSet·p0.90:   0.363 s/op
                 insertIntoTreeSet·p0.95:   0.368 s/op
                 insertIntoTreeSet·p0.99:   0.369 s/op
                 insertIntoTreeSet·p0.999:  0.369 s/op
                 insertIntoTreeSet·p0.9999: 0.369 s/op
                 insertIntoTreeSet·p1.00:   0.369 s/op

Iteration   5: 0.343 ±(99.9%) 0.005 s/op
                 insertIntoTreeSet·p0.00:   0.335 s/op
                 insertIntoTreeSet·p0.50:   0.341 s/op
                 insertIntoTreeSet·p0.90:   0.353 s/op
                 insertIntoTreeSet·p0.95:   0.365 s/op
                 insertIntoTreeSet·p0.99:   0.372 s/op
                 insertIntoTreeSet·p0.999:  0.372 s/op
                 insertIntoTreeSet·p0.9999: 0.372 s/op
                 insertIntoTreeSet·p1.00:   0.372 s/op

Iteration   6: 0.344 ±(99.9%) 0.006 s/op
                 insertIntoTreeSet·p0.00:   0.333 s/op
                 insertIntoTreeSet·p0.50:   0.340 s/op
                 insertIntoTreeSet·p0.90:   0.362 s/op
                 insertIntoTreeSet·p0.95:   0.365 s/op
                 insertIntoTreeSet·p0.99:   0.367 s/op
                 insertIntoTreeSet·p0.999:  0.367 s/op
                 insertIntoTreeSet·p0.9999: 0.367 s/op
                 insertIntoTreeSet·p1.00:   0.367 s/op

Iteration   7: 0.341 ±(99.9%) 0.005 s/op
                 insertIntoTreeSet·p0.00:   0.333 s/op
                 insertIntoTreeSet·p0.50:   0.339 s/op
                 insertIntoTreeSet·p0.90:   0.350 s/op
                 insertIntoTreeSet·p0.95:   0.364 s/op
                 insertIntoTreeSet·p0.99:   0.364 s/op
                 insertIntoTreeSet·p0.999:  0.364 s/op
                 insertIntoTreeSet·p0.9999: 0.364 s/op
                 insertIntoTreeSet·p1.00:   0.364 s/op

Iteration   8: 0.342 ±(99.9%) 0.005 s/op
                 insertIntoTreeSet·p0.00:   0.335 s/op
                 insertIntoTreeSet·p0.50:   0.338 s/op
                 insertIntoTreeSet·p0.90:   0.355 s/op
                 insertIntoTreeSet·p0.95:   0.365 s/op
                 insertIntoTreeSet·p0.99:   0.365 s/op
                 insertIntoTreeSet·p0.999:  0.365 s/op
                 insertIntoTreeSet·p0.9999: 0.365 s/op
                 insertIntoTreeSet·p1.00:   0.365 s/op

Iteration   9: 0.342 ±(99.9%) 0.005 s/op
                 insertIntoTreeSet·p0.00:   0.334 s/op
                 insertIntoTreeSet·p0.50:   0.340 s/op
                 insertIntoTreeSet·p0.90:   0.350 s/op
                 insertIntoTreeSet·p0.95:   0.364 s/op
                 insertIntoTreeSet·p0.99:   0.367 s/op
                 insertIntoTreeSet·p0.999:  0.367 s/op
                 insertIntoTreeSet·p0.9999: 0.367 s/op
                 insertIntoTreeSet·p1.00:   0.367 s/op

Iteration  10: 0.342 ±(99.9%) 0.006 s/op
                 insertIntoTreeSet·p0.00:   0.334 s/op
                 insertIntoTreeSet·p0.50:   0.340 s/op
                 insertIntoTreeSet·p0.90:   0.352 s/op
                 insertIntoTreeSet·p0.95:   0.370 s/op
                 insertIntoTreeSet·p0.99:   0.379 s/op
                 insertIntoTreeSet·p0.999:  0.379 s/op
                 insertIntoTreeSet·p0.9999: 0.379 s/op
                 insertIntoTreeSet·p1.00:   0.379 s/op


# Run progress: 75.00% complete, ETA 00:07:36
# Fork: 1 of 1
# Warmup Iteration   1: 0.359 ±(99.9%) 0.012 s/op
# Warmup Iteration   2: 0.355 ±(99.9%) 0.005 s/op
# Warmup Iteration   3: 0.350 ±(99.9%) 0.010 s/op
# Warmup Iteration   4: 0.344 ±(99.9%) 0.005 s/op
# Warmup Iteration   5: 0.369 ±(99.9%) 0.027 s/op
Iteration   1: 0.393 ±(99.9%) 0.036 s/op
                 insertIntoTreeSet·p0.00:   0.342 s/op
                 insertIntoTreeSet·p0.50:   0.378 s/op
                 insertIntoTreeSet·p0.90:   0.501 s/op
                 insertIntoTreeSet·p0.95:   0.511 s/op
                 insertIntoTreeSet·p0.99:   0.513 s/op
                 insertIntoTreeSet·p0.999:  0.513 s/op
                 insertIntoTreeSet·p0.9999: 0.513 s/op
                 insertIntoTreeSet·p1.00:   0.513 s/op

Iteration   2: 0.391 ±(99.9%) 0.025 s/op
                 insertIntoTreeSet·p0.00:   0.340 s/op
                 insertIntoTreeSet·p0.50:   0.382 s/op
                 insertIntoTreeSet·p0.90:   0.446 s/op
                 insertIntoTreeSet·p0.95:   0.458 s/op
                 insertIntoTreeSet·p0.99:   0.462 s/op
                 insertIntoTreeSet·p0.999:  0.462 s/op
                 insertIntoTreeSet·p0.9999: 0.462 s/op
                 insertIntoTreeSet·p1.00:   0.462 s/op

Iteration   3: 0.385 ±(99.9%) 0.026 s/op
                 insertIntoTreeSet·p0.00:   0.342 s/op
                 insertIntoTreeSet·p0.50:   0.376 s/op
                 insertIntoTreeSet·p0.90:   0.438 s/op
                 insertIntoTreeSet·p0.95:   0.461 s/op
                 insertIntoTreeSet·p0.99:   0.472 s/op
                 insertIntoTreeSet·p0.999:  0.472 s/op
                 insertIntoTreeSet·p0.9999: 0.472 s/op
                 insertIntoTreeSet·p1.00:   0.472 s/op

Iteration   4: 0.389 ±(99.9%) 0.035 s/op
                 insertIntoTreeSet·p0.00:   0.339 s/op
                 insertIntoTreeSet·p0.50:   0.377 s/op
                 insertIntoTreeSet·p0.90:   0.473 s/op
                 insertIntoTreeSet·p0.95:   0.490 s/op
                 insertIntoTreeSet·p0.99:   0.490 s/op
                 insertIntoTreeSet·p0.999:  0.490 s/op
                 insertIntoTreeSet·p0.9999: 0.490 s/op
                 insertIntoTreeSet·p1.00:   0.490 s/op

Iteration   5: 0.392 ±(99.9%) 0.025 s/op
                 insertIntoTreeSet·p0.00:   0.339 s/op
                 insertIntoTreeSet·p0.50:   0.397 s/op
                 insertIntoTreeSet·p0.90:   0.443 s/op
                 insertIntoTreeSet·p0.95:   0.453 s/op
                 insertIntoTreeSet·p0.99:   0.458 s/op
                 insertIntoTreeSet·p0.999:  0.458 s/op
                 insertIntoTreeSet·p0.9999: 0.458 s/op
                 insertIntoTreeSet·p1.00:   0.458 s/op

Iteration   6: 0.373 ±(99.9%) 0.017 s/op
                 insertIntoTreeSet·p0.00:   0.337 s/op
                 insertIntoTreeSet·p0.50:   0.374 s/op
                 insertIntoTreeSet·p0.90:   0.399 s/op
                 insertIntoTreeSet·p0.95:   0.416 s/op
                 insertIntoTreeSet·p0.99:   0.420 s/op
                 insertIntoTreeSet·p0.999:  0.420 s/op
                 insertIntoTreeSet·p0.9999: 0.420 s/op
                 insertIntoTreeSet·p1.00:   0.420 s/op

Iteration   7: 0.361 ±(99.9%) 0.020 s/op
                 insertIntoTreeSet·p0.00:   0.338 s/op
                 insertIntoTreeSet·p0.50:   0.345 s/op
                 insertIntoTreeSet·p0.90:   0.411 s/op
                 insertIntoTreeSet·p0.95:   0.428 s/op
                 insertIntoTreeSet·p0.99:   0.434 s/op
                 insertIntoTreeSet·p0.999:  0.434 s/op
                 insertIntoTreeSet·p0.9999: 0.434 s/op
                 insertIntoTreeSet·p1.00:   0.434 s/op

Iteration   8: 0.362 ±(99.9%) 0.021 s/op
                 insertIntoTreeSet·p0.00:   0.333 s/op
                 insertIntoTreeSet·p0.50:   0.350 s/op
                 insertIntoTreeSet·p0.90:   0.417 s/op
                 insertIntoTreeSet·p0.95:   0.441 s/op
                 insertIntoTreeSet·p0.99:   0.450 s/op
                 insertIntoTreeSet·p0.999:  0.450 s/op
                 insertIntoTreeSet·p0.9999: 0.450 s/op
                 insertIntoTreeSet·p1.00:   0.450 s/op

Iteration   9: 0.371 ±(99.9%) 0.020 s/op
                 insertIntoTreeSet·p0.00:   0.337 s/op
                 insertIntoTreeSet·p0.50:   0.360 s/op
                 insertIntoTreeSet·p0.90:   0.420 s/op
                 insertIntoTreeSet·p0.95:   0.441 s/op
                 insertIntoTreeSet·p0.99:   0.450 s/op
                 insertIntoTreeSet·p0.999:  0.450 s/op
                 insertIntoTreeSet·p0.9999: 0.450 s/op
                 insertIntoTreeSet·p1.00:   0.450 s/op

Iteration  10: 0.367 ±(99.9%) 0.012 s/op
                 insertIntoTreeSet·p0.00:   0.343 s/op
                 insertIntoTreeSet·p0.50:   0.363 s/op
                 insertIntoTreeSet·p0.90:   0.394 s/op
                 insertIntoTreeSet·p0.95:   0.412 s/op
                 insertIntoTreeSet·p0.99:   0.421 s/op
                 insertIntoTreeSet·p0.999:  0.421 s/op
                 insertIntoTreeSet·p0.9999: 0.421 s/op
                 insertIntoTreeSet·p1.00:   0.421 s/op



Result "ant.far.MyBenchmark.insertIntoTreeSet":
  N = 268
  mean =      0.378 ±(99.9%) 0.007 s/op

  Histogram, s/op:
    [0.300, 0.325) = 0 
    [0.325, 0.350) = 71 
    [0.350, 0.375) = 81 
    [0.375, 0.400) = 58 
    [0.400, 0.425) = 29 
    [0.425, 0.450) = 17 
    [0.450, 0.475) = 7 
    [0.475, 0.500) = 3 
    [0.500, 0.525) = 2 
    [0.525, 0.550) = 0 
    [0.550, 0.575) = 0 
    [0.575, 0.600) = 0 

  Percentiles, s/op:
      p(0.0000) =      0.333 s/op
     p(50.0000) =      0.369 s/op
     p(90.0000) =      0.429 s/op
     p(95.0000) =      0.450 s/op
     p(99.0000) =      0.501 s/op
     p(99.9000) =      0.513 s/op
     p(99.9900) =      0.513 s/op
     p(99.9990) =      0.513 s/op
     p(99.9999) =      0.513 s/op
    p(100.0000) =      0.513 s/op


# JMH version: 1.36
# VM version: JDK 19.0.1, Java HotSpot(TM) 64-Bit Server VM, 19.0.1+10-21
# VM invoker: C:\Program Files\Java\jdk-19\bin\java.exe
# VM options: <none>
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 10 s each
# Measurement: 10 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Sampling time
# Benchmark: ant.far.MyBenchmark.sortTreeSet

# Run progress: 83.33% complete, ETA 00:05:04
# Warmup Fork: 1 of 1
# Warmup Iteration   1: ≈ 10⁻⁷ s/op
# Warmup Iteration   2: ≈ 10⁻⁸ s/op
# Warmup Iteration   3: ≈ 10⁻⁸ s/op
# Warmup Iteration   4: ≈ 10⁻⁸ s/op
# Warmup Iteration   5: ≈ 10⁻⁸ s/op
Iteration   1: ≈ 10⁻⁸ s/op
                 sortTreeSet·p0.00:   ≈ 0 s/op
                 sortTreeSet·p0.50:   ≈ 0 s/op
                 sortTreeSet·p0.90:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.95:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.99:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.999:  ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.9999: ≈ 10⁻⁵ s/op
                 sortTreeSet·p1.00:   ≈ 10⁻⁵ s/op

Iteration   2: ≈ 10⁻⁸ s/op
                 sortTreeSet·p0.00:   ≈ 0 s/op
                 sortTreeSet·p0.50:   ≈ 0 s/op
                 sortTreeSet·p0.90:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.95:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.99:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.999:  ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.9999: ≈ 10⁻⁶ s/op
                 sortTreeSet·p1.00:   ≈ 10⁻⁵ s/op

Iteration   3: ≈ 10⁻⁸ s/op
                 sortTreeSet·p0.00:   ≈ 0 s/op
                 sortTreeSet·p0.50:   ≈ 0 s/op
                 sortTreeSet·p0.90:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.95:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.99:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.999:  ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.9999: ≈ 10⁻⁷ s/op
                 sortTreeSet·p1.00:   ≈ 10⁻⁵ s/op

Iteration   4: ≈ 10⁻⁸ s/op
                 sortTreeSet·p0.00:   ≈ 0 s/op
                 sortTreeSet·p0.50:   ≈ 0 s/op
                 sortTreeSet·p0.90:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.95:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.99:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.999:  ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.9999: ≈ 10⁻⁷ s/op
                 sortTreeSet·p1.00:   ≈ 10⁻⁴ s/op

Iteration   5: ≈ 10⁻⁸ s/op
                 sortTreeSet·p0.00:   ≈ 0 s/op
                 sortTreeSet·p0.50:   ≈ 0 s/op
                 sortTreeSet·p0.90:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.95:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.99:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.999:  ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.9999: ≈ 10⁻⁷ s/op
                 sortTreeSet·p1.00:   ≈ 10⁻⁴ s/op

Iteration   6: ≈ 10⁻⁸ s/op
                 sortTreeSet·p0.00:   ≈ 0 s/op
                 sortTreeSet·p0.50:   ≈ 0 s/op
                 sortTreeSet·p0.90:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.95:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.99:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.999:  ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.9999: ≈ 10⁻⁷ s/op
                 sortTreeSet·p1.00:   ≈ 10⁻⁵ s/op

Iteration   7: ≈ 10⁻⁸ s/op
                 sortTreeSet·p0.00:   ≈ 0 s/op
                 sortTreeSet·p0.50:   ≈ 0 s/op
                 sortTreeSet·p0.90:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.95:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.99:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.999:  ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.9999: ≈ 10⁻⁶ s/op
                 sortTreeSet·p1.00:   0.001 s/op

Iteration   8: ≈ 10⁻⁸ s/op
                 sortTreeSet·p0.00:   ≈ 0 s/op
                 sortTreeSet·p0.50:   ≈ 0 s/op
                 sortTreeSet·p0.90:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.95:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.99:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.999:  ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.9999: ≈ 10⁻⁵ s/op
                 sortTreeSet·p1.00:   ≈ 10⁻⁵ s/op

Iteration   9: ≈ 10⁻⁸ s/op
                 sortTreeSet·p0.00:   ≈ 0 s/op
                 sortTreeSet·p0.50:   ≈ 0 s/op
                 sortTreeSet·p0.90:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.95:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.99:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.999:  ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.9999: ≈ 10⁻⁶ s/op
                 sortTreeSet·p1.00:   ≈ 10⁻⁵ s/op

Iteration  10: ≈ 10⁻⁸ s/op
                 sortTreeSet·p0.00:   ≈ 0 s/op
                 sortTreeSet·p0.50:   ≈ 0 s/op
                 sortTreeSet·p0.90:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.95:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.99:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.999:  ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.9999: ≈ 10⁻⁷ s/op
                 sortTreeSet·p1.00:   ≈ 10⁻⁵ s/op


